id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
972445096435473064,West Roxbury 3rd flr private room with single bed,69267172,Lynda,West Roxbury,42.27977,-71.15978,Private room,50.0,1,17,0.98,14,90
972577050709299536,Cozy Oasis Near Downtown & Airport,5618949,Alan,East Boston,42.3771,-71.03226,Entire home/apt,123.0,29,2,0.11,13,270
973281689466385552,Lovely corner 2 BR 2BA apt Boston  hospitals.,163848078,Adam,Jamaica Plain,42.32833,-71.11261,Entire home/apt,179.0,29,2,0.12,73,270
973323653668621032,Comfort - Cozy -Living,535531649,Laugenia,Mattapan,42.2725737,-71.0860593,Entire home/apt,86.0,29,1,0.06,1,179
973416708757062233,Allston 2BR Retreat w/ Private Entrance & Comfort,31340713,Kama,Allston,42.35062,-71.13251,Entire home/apt,165.0,30,1,0.06,42,325
973772259586587633,Modern Apt in Boston|Near Subway|Free Parking|Safe,522128667,Thanh,Dorchester,42.2904444,-71.06052729999999,Entire home/apt,190.0,2,66,3.58,3,344
974108478241634667,"Back Bay Historic Sunny near hospitals, businesses",109550763,Wendy,Back Bay,42.353319888698614,-71.07674818485975,Entire home/apt,130.0,91,0,0.0,1,169
974130181789175734,1 BR Gem 5min to Train & Airport explore the city,115371501,Cecilia,East Boston,42.37138183463158,-71.0399257294879,Entire home/apt,168.0,2,65,5.16,1,148
974824924367110722,Modern/chic one-bedroom in eco Smart Home -Room #2,77476995,Christian,Dorchester,42.31276,-71.07632,Private room,82.0,1,21,1.18,1,0
975169246283882115,Luxury by Fenway Park w/pool - Ask about discounts,443515330,Cort,Fenway,42.34379,-71.10191,Entire home/apt,257.0,91,0,0.0,2,0
975169390410019999,Luxury 1BR  Fenway Park w/pool - Discounts offered,443515330,Cort,Fenway,42.34379,-71.10191,Entire home/apt,328.0,91,0,0.0,2,306
975276196613469703,Newly Renovated + Spacious Apt w/ Parking,21554910,Philipp,Roxbury,42.32162,-71.07709,Entire home/apt,122.0,2,80,4.38,2,227
975295605589137873,Adorable South Boston Prívate Bedroom,23035099,Kristine,South Boston,42.33526,-71.03126,Private room,66.0,30,2,0.15,4,250
975608550315913057,Ideal for long stays | Spacious suite in Boston,416027128,Naveen,Brighton,42.34745,-71.14425,Entire home/apt,158.0,29,76,4.16,27,0
